Indnum,Activity,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
215,hazardous or electric items disposed,,,,,,,,,,,,
215,large items disposed,2,13,,,,,,,,,,
216,Household heating => 70F,7,79,,,,,,1,,,,
216,Household heating < 70F,3,86,,,,,,1,,,,
216,Use of heat pump,,52,,,,,,,,,,
216,Use of air conditioner,22,58,,,,,,,,,,
216,shower - short,5,88,,1,,,,,,,,
216,shower - long (> 3 min),34,78,,,,,,,,,,
216,bath,,15,,,,,,,,,,
216,wash-up,50,35,,,,,,,,,,
216,use of dishwasher,,25,,,,,,,,,,
216,use of clothes washer,3,36,,,,,,,,,,
216,use of clothes dryer,4,20,,,,,,,,,1,
216,use of cooking range,,,,,,,,,,,1,
216,use of  oven,10,38,,,,,,,,,1,
216,use of self-clean feature of electric oven,4,13,,,,,,,,,,
216,Small kitchen appliance in the home,,,,,,,,,,,,
216,TV/computer use,61,27,,,,,,,,,,
216,air travel - large plane,2366,48,,,,,,,,,,
216,air travel - small  plane (<50 seats),,,,,,,,,,,,
216,car trips- self only,373,50,,,,,1,,,,,
216,car trips - driver and self,35,37,,,,,1,,,,,
216,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
216,trips using public ground transportation,16,61,,,,,,,,,,
216,bags of garbage disposed,17,49,,,,,,,,,,
216,bags of recycling deposited (negative CF),,,,,,,,,,,,
216,bags of compost deposited (negative CF),,,,,,,,,,,,
216,hazardous or electric items disposed,,,,,,,,,,,,
216,large items disposed,,15,,,,,,,,,,
217,Household heating => 70F,10,91,,,,,,1,,,,
217,Household heating < 70F,10,77,,,,,,1,,,,
217,Use of heat pump,,49,,,,,,,,,,
217,Use of air conditioner,20,55,,,,,,,,,,
217,shower - short,8,90,,,,,,,,,,
217,shower - long (> 3 min),36,72,,,,,,,,,,
217,bath,,12,,,,,,,,,,
217,wash-up,45,34,,,,,,,,,,
217,use of dishwasher,,23,,,,,,,,,,
217,use of clothes washer,4,31,,,,,,,,,,
217,use of clothes dryer,4,13,,,,,,,,,,
217,use of cooking range,,,1,,,,,,,,,
217,use of  oven,8,36,,,,,,,,,,
217,use of self-clean feature of electric oven,3,13,,,,,,,,,,
217,Small kitchen appliance in the home,,,,,,,,,,,,
217,TV/computer use,58,30,,,,,,,,,,
217,air travel - large plane,2544,51,,,,,,,,,,
217,air travel - small  plane (<50 seats),,,,,,,,,,,,
217,car trips- self only,382,50,,,,,1,,,,,
217,car trips - driver and self,32,37,,,,,1,,,,,
217,car trips - 2+ people with multiple end points,14,,,,,,1,,,,,
217,trips using public ground transportation,12,43,,,,,,,,,,
217,bags of garbage disposed,19,50,,,,,,,,,,
217,bags of recycling deposited (negative CF),,,,,,,,,,,,
217,bags of compost deposited (negative CF),,,,,,,,,,,,
217,hazardous or electric items disposed,,,,,,,,,,,,
217,large items disposed,2,13,,,,,,,,,,
218,Household heating => 70F,3,75,,,1,,,1,,,,
218,Household heating < 70F,10,88,,,,,,1,,,,
218,Use of heat pump,,40,,,,,,,,,,
218,Use of air conditioner,19,58,,,,,,,,,,
218,shower - short,6,82,,,,,,,1,,,
218,shower - long (> 3 min),22,91,,,,1,1,,,,,
218,bath,,14,,,,,,,,,,
218,wash-up,45,24,,,,,,,,,,
218,use of dishwasher,,24,,,,,,,,,,
218,use of clothes washer,5,40,,1,,,,,,,,
218,use of clothes dryer,3,13,,,,,,,,,1,
218,use of cooking range,,,,,,,,,,1,1,
218,use of  oven,8,36,,,,,1,,,,1,
218,use of self-clean feature of electric oven,2,12,,,,,,,,,,
218,Small kitchen appliance in the home,,,,,,,,,,,,
218,TV/computer use,63,21,,,,,,,,,,
218,air travel - large plane,2965,45,,,,,,,,,,
218,air travel - small  plane (<50 seats),,,,,,,,,,,,
218,car trips- self only,460,53,,,,,1,,,,,
218,car trips - driver and self,20,33,,,,,1,,,,,
218,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
218,trips using public ground transportation,19,56,,,,,,,,,,
218,bags of garbage disposed,18,51,,,,,,,,,,
218,bags of recycling deposited (negative CF),,,,,,,,,,,,
218,bags of compost deposited (negative CF),,,,,,,,,,,,
218,hazardous or electric items disposed,,,,,,,,,,,,
218,large items disposed,2,14,,,,,,,,,,
219,Household heating => 70F,3,81,,,,,,1,,,,
219,Household heating < 70F,7,87,,,,,,1,,,,
219,Use of heat pump,,55,,,,,,,,,,
219,Use of air conditioner,15,48,,,,,,,,,,
219,shower - short,4,97,,,,,,,,,,
219,shower - long (> 3 min),35,77,,,,,,,,,,
219,bath,,9,,,,,,,,,,
219,wash-up,37,27,1,,,,,,,,,
219,use of dishwasher,,23,,,,,,,,,,
219,use of clothes washer,6,28,,,,,,,,,,
219,use of clothes dryer,2,21,,,,,,,,,,
219,use of cooking range,,,,,,,,,,,,
219,use of  oven,9,33,,,,,,,,,,
219,use of self-clean feature of electric oven,3,14,,,,,,,,,,
219,Small kitchen appliance in the home,,,,,,,,,,,,
219,TV/computer use,63,26,,,,,,,,,,
219,air travel - large plane,2162,43,,,,,1,,,,,
219,air travel - small  plane (<50 seats),,,,,,,,,,,,
219,car trips- self only,378,59,,,,,1,,,,,
219,car trips - driver and self,29,30,,,,,1,,,,,
219,car trips - 2+ people with multiple end points,25,,,,,,1,,,,,
219,trips using public ground transportation,19,53,,,,,,,,,,
219,bags of garbage disposed,27,41,,,,,,,,,,
219,bags of recycling deposited (negative CF),,,,,,,,,,,,
219,bags of compost deposited (negative CF),,,,,,,,,,,,
219,hazardous or electric items disposed,,,,,,,,,,,,
219,large items disposed,2,14,,,,,,,,,,
220,Household heating => 70F,6,77,,1,,,,1,,,,
220,Household heating < 70F,8,90,,,,1,,1,,,,
220,Use of heat pump,,52,,,,,,,,,,
220,Use of air conditioner,24,38,,,,,,,,,,
220,shower - short,2,90,,,1,,,,,,,
220,shower - long (> 3 min),27,81,,,,,,,,,,
220,bath,,15,,,,,,,,,,
220,wash-up,53,26,,,,,,,,,,
220,use of dishwasher,,23,,,,,,,,,,
220,use of clothes washer,5,33,,,,,,,,,,
220,use of clothes dryer,2,17,,,,,,,,,1,
220,use of cooking range,,,,,,,,,,,1,
220,use of  oven,11,39,,,,,,,1,,1,
220,use of self-clean feature of electric oven,4,18,,,,,,,,,,
220,Small kitchen appliance in the home,,,,,,,,,,,,
220,TV/computer use,58,24,,,,,,,,,,
220,air travel - large plane,2746,50,,,,,,,,,,1
220,air travel - small  plane (<50 seats),,,,,,,,,,,,
220,car trips- self only,324,43,,,,,1,,,,,
220,car trips - driver and self,25,22,,,,,1,,,,,
220,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
220,trips using public ground transportation,16,60,,,,,,,,,,
220,bags of garbage disposed,22,46,,,,,,,,,,
220,bags of recycling deposited (negative CF),,,,,,,,,,,,
220,bags of compost deposited (negative CF),4,9,,,,,,,,,,
220,hazardous or electric items disposed,,,,,,,,,,,,
220,large items disposed,2,14,,,,,,,,,,
221,Household heating => 70F,10,65,,,,,,1,,,,
221,Household heating < 70F,3,72,,,1,,,1,,1,,
221,Use of heat pump,,40,,1,,,,,,,,
221,Use of air conditioner,12,55,,,,,,,,,,
221,shower - short,3,98,1,1,,,,,,,,
221,shower - long (> 3 min),19,84,,,,,1,,,,,
221,bath,,18,,,,,,,,,,
221,wash-up,34,36,,,,,,,,,,
221,use of dishwasher,,21,,,,,,,,,,
221,use of clothes washer,5,45,,,,,,,,,,
221,use of clothes dryer,2,19,,,,,,,,,,
221,use of cooking range,,,,,,,,,,,,
221,use of  oven,8,31,,,,,,,,,,
221,use of self-clean feature of electric oven,1,11,,,,,,,,,,
221,Small kitchen appliance in the home,,,,,,,,,,,,
221,TV/computer use,64,25,,,,,,,,,,
221,air travel - large plane,3526,43,,,,,,,,,,
221,air travel - small  plane (<50 seats),,,,,,,,,,,,
221,car trips- self only,376,52,,,,,1,,,,,
221,car trips - driver and self,10,37,,,,,1,,,,,
221,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
221,trips using public ground transportation,13,51,,,,,,,,,,
221,bags of garbage disposed,27,41,,,,,,,,,,
221,bags of recycling deposited (negative CF),,,,,,,,,,,,
221,bags of compost deposited (negative CF),,,,,,,,,,,,
221,hazardous or electric items disposed,,,,,,,,,,,,
221,large items disposed,,16,,,,,,,,,,
222,Household heating => 70F,1,90,,,,,,1,,,,
222,Household heating < 70F,3,91,,,1,,,1,,,,
222,Use of heat pump,,49,,,,1,,,,,,
222,Use of air conditioner,28,39,,,,,,,,,,
222,shower - short,3,92,,,,,,,,,,
222,shower - long (> 3 min),13,76,,,1,,,,,,,
222,bath,,15,,,,,,,,,,
222,wash-up,47,40,,,,,,,,,,
222,use of dishwasher,,23,,,,,,,,1,,
222,use of clothes washer,4,28,,,,,,,,,,
222,use of clothes dryer,2,18,,,,,,,,,1,
222,use of cooking range,,,,,,,,,,,1,
222,use of  oven,11,38,,,,,,,,,1,
222,use of self-clean feature of electric oven,4,14,,,,,,,,1,,
222,Small kitchen appliance in the home,,,,,,,,,,,,
222,TV/computer use,62,23,,,,,,,,,,
222,air travel - large plane,3651,48,,,,,,,,,,1
222,air travel - small  plane (<50 seats),,,,,,,,,,,,
222,car trips- self only,317,46,,,,,1,,,,,
222,car trips - driver and self,15,32,,,,,1,,,,,
222,car trips - 2+ people with multiple end points,30,,,,,,1,,,,,
222,trips using public ground transportation,14,53,,,,,,,,,,
222,bags of garbage disposed,18,46,,,,,,,,,,
222,bags of recycling deposited (negative CF),2,4,,,,,,,,,,
222,bags of compost deposited (negative CF),,,,,,,,,,,,
222,hazardous or electric items disposed,,,,,,,,,,,,
222,large items disposed,1,19,,,,,,,,,,
223,Household heating => 70F,8,69,,,,,,1,,,,
223,Household heating < 70F,5,73,,,,,,1,,,,
223,Use of heat pump,,45,,,,,,,,,,
223,Use of air conditioner,16,57,,,,,,,,,,
223,shower - short,6,88,,,,,,,,,,
223,shower - long (> 3 min),18,80,,,,,,,,,,
223,bath,,19,,,,,1,,,,,
223,wash-up,42,37,,,,,,,,,,
223,use of dishwasher,,22,,,,,,,,,,
223,use of clothes washer,6,36,,,,,,,,,,
223,use of clothes dryer,3,18,,,,,,,,,,
223,use of cooking range,,,,,,,,,,,,
223,use of  oven,10,36,,,,,,,,,,
223,use of self-clean feature of electric oven,1,21,,,,,,,,,,
223,Small kitchen appliance in the home,,,,,,,,,,,,
223,TV/computer use,63,23,,,,,,,,,,
223,air travel - large plane,3941,50,,,,,,,,,,1
223,air travel - small  plane (<50 seats),,,,,,,,,,,,1
223,car trips- self only,357,46,,,,,1,,,,,
223,car trips - driver and self,35,22,,,,,1,,,,,
223,car trips - 2+ people with multiple end points,14,,,,,,1,,,,,
223,trips using public ground transportation,15,43,,,,,,,,,,
223,bags of garbage disposed,18,41,,,,,,,,,,
223,bags of recycling deposited (negative CF),,,,,,,,,,,,
223,bags of compost deposited (negative CF),5,11,,,,,,,,,,
223,hazardous or electric items disposed,,,,,,,,,,,,
223,large items disposed,,19,,,,,,,,,,
224,Household heating => 70F,3,91,,,,,,1,,,,
224,Household heating < 70F,10,71,,,,,,1,,,,
224,Use of heat pump,,43,,,,,,,,,,
224,Use of air conditioner,17,44,,,,,,,,,,
224,shower - short,4,89,,,,,,,,,,
224,shower - long (> 3 min),23,74,,,,,,,,,,
224,bath,,12,,1,,1,,,,,,
224,wash-up,49,29,,,,,,,,,,
224,use of dishwasher,,23,,,,,,,,,,
224,use of clothes washer,6,27,,,,,1,,,,,
224,use of clothes dryer,2,14,,,,,,,,,1,
224,use of cooking range,,,,,,1,,,,,1,
224,use of  oven,9,32,,,,,,,,,1,
224,use of self-clean feature of electric oven,1,21,,,,,,,,,,
224,Small kitchen appliance in the home,,,,,,,,,,,,
224,TV/computer use,58,21,,,,,,,,,,
224,air travel - large plane,3610,51,,,,,,,,,,1
224,air travel - small  plane (<50 seats),,,,,,,,,,,,
224,car trips- self only,260,52,,,,,1,,,,,
224,car trips - driver and self,26,27,,,,,1,,,,,
224,car trips - 2+ people with multiple end points,24,,,,,,1,,,,,
224,trips using public ground transportation,12,42,,,,,,,,,,
224,bags of garbage disposed,28,44,,,,,,,,,,
224,bags of recycling deposited (negative CF),,,,,,,,,,,,
224,bags of compost deposited (negative CF),4,9,,,,,,,,,,
224,hazardous or electric items disposed,,,,,,,,,,,,
224,large items disposed,2,20,,,,,,,,,,
225,Household heating => 70F,7,77,,,,,,1,,,,
225,Household heating < 70F,1,88,,,,,,1,,,,
225,Use of heat pump,,46,,,,,,,,,,
225,Use of air conditioner,25,43,,,,,,,,,,
225,shower - short,6,97,,,,,,,,,,
225,shower - long (> 3 min),12,87,,,,,,,,,,
225,bath,,13,,,,,1,,,,,
225,wash-up,46,35,,,,,,,,,,
225,use of dishwasher,,19,,,,,,,,,,
225,use of clothes washer,2,41,,,,,,,,,,
225,use of clothes dryer,3,15,,,,,,,,,,
225,use of cooking range,,,,,,,1,,,,,
225,use of  oven,12,39,,,,,,,,,,
225,use of self-clean feature of electric oven,4,11,,,,,,,,,,
225,Small kitchen appliance in the home,,,,,,,,,,,,
225,TV/computer use,59,26,,,,,,,,,,
225,air travel - large plane,2466,44,,,,,,,,,,
225,air travel - small  plane (<50 seats),,,,,,,,,,,,1
225,car trips- self only,391,51,,,,,1,,,,,
225,car trips - driver and self,13,28,,,,,1,,,,,
225,car trips - 2+ people with multiple end points,28,,,,,,1,,,,,
225,trips using public ground transportation,12,61,,,,,,,,,,
225,bags of garbage disposed,28,43,,,,,,,,,,
225,bags of recycling deposited (negative CF),,,,,,,,,,,,
225,bags of compost deposited (negative CF),,,,,,,,,,,,
225,hazardous or electric items disposed,,,,,,,,,,,,
225,large items disposed,,12,,,,,,,,,,
226,Household heating => 70F,6,66,,1,,,,1,,,,
226,Household heating < 70F,3,62,,,,,1,1,,,,
226,Use of heat pump,,47,1,,,,,,,,,
226,Use of air conditioner,17,52,1,,,1,,,,,,
226,shower - short,6,87,,,,,,,,,,
226,shower - long (> 3 min),38,76,,1,,,,,,,,
226,bath,,16,,,,,,,,,,
226,wash-up,50,39,,,,,,,,,,
226,use of dishwasher,,19,,,,,,,,,,
226,use of clothes washer,3,33,,,,,,,,,,
226,use of clothes dryer,2,21,,,,,,,,,1,
226,use of cooking range,,,,,,,,,,,1,
226,use of  oven,12,36,,,,,,,,,1,
226,use of self-clean feature of electric oven,2,17,,,,,,,,,,
226,Small kitchen appliance in the home,,,,,,,,,,,,
226,TV/computer use,64,28,,,,,,,,,,
226,air travel - large plane,3456,45,,,,,,,,,,
226,air travel - small  plane (<50 seats),,,,,,,,,,,,
226,car trips- self only,379,57,,,,,1,,,,,
226,car trips - driver and self,31,19,,,,,1,,,,,
226,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
226,trips using public ground transportation,18,59,,,,,,,,,,
226,bags of garbage disposed,26,42,,,,,,,,,,
226,bags of recycling deposited (negative CF),,,,,,,,,,,,
226,bags of compost deposited (negative CF),,,,,,,,,,,,
226,hazardous or electric items disposed,,,,,,,,,,,,
226,large items disposed,1,14,,,,,,,,,,
227,Household heating => 70F,3,75,,1,,,,1,,,,
227,Household heating < 70F,10,92,,,,1,,1,,,,
227,Use of heat pump,,47,,,,,,,,,,
227,Use of air conditioner,18,48,,,,1,,,,,,
227,shower - short,7,84,,,,,,,,,,
227,shower - long (> 3 min),35,87,,,,,,,,,,
227,bath,,11,,1,,,,,1,,,
227,wash-up,45,37,,,,,,,,,,
227,use of dishwasher,,19,,,,,,,,,,
227,use of clothes washer,3,40,,,,,,,,,,
227,use of clothes dryer,3,17,,,,,,,,,,
227,use of cooking range,,,,,,,,,,,,
227,use of  oven,8,35,,,,,,,,,,
227,use of self-clean feature of electric oven,3,15,,,,,,,,,,
227,Small kitchen appliance in the home,,,,,,,,,,,,
227,TV/computer use,64,29,,,,,,,,,,
227,air travel - large plane,2602,50,,,,,,,,,,
227,air travel - small  plane (<50 seats),,,,,,,,,,,,
227,car trips- self only,380,56,,,,,1,,,,,
227,car trips - driver and self,36,26,,,,,1,,,,,
227,car trips - 2+ people with multiple end points,19,,,,,,1,,,,,
227,trips using public ground transportation,13,51,,,,,,,,,,
227,bags of garbage disposed,17,45,,,,,,,,,,
227,bags of recycling deposited (negative CF),,,,,,,,,,,,
227,bags of compost deposited (negative CF),,,,,,,,,,,,
227,hazardous or electric items disposed,,,,,,,,,,,,
227,large items disposed,1,18,,,,,,,,,,
228,Household heating => 70F,3,68,,,,,,1,,,,
228,Household heating < 70F,2,69,1,,,,,1,,,,
228,Use of heat pump,,53,,,,,,,,1,,
228,Use of air conditioner,16,55,,,,,,,,,,
228,shower - short,6,84,,,,,,,,,,
228,shower - long (> 3 min),20,82,,,,,,,,,,
228,bath,,22,,,,,,,,,,
228,wash-up,46,24,,,,,,,,,,
228,use of dishwasher,,20,1,,,,,,,,,
228,use of clothes washer,7,27,1,1,,,,,,,,
228,use of clothes dryer,2,21,,,,,,,,,1,
228,use of cooking range,,,,,,,,,,1,1,
228,use of  oven,10,34,,,,,,,,,1,
228,use of self-clean feature of electric oven,2,19,,,,,,,,,,
228,Small kitchen appliance in the home,,,1,,,,1,,,,,
228,TV/computer use,61,26,,,,,,,,,,
228,air travel - large plane,3796,41,,,,,,,,,,
228,air travel - small  plane (<50 seats),,,,,,,,,,,,
228,car trips- self only,344,58,,,,,1,,,,,
228,car trips - driver and self,38,22,,,,,1,,,,,
228,car trips - 2+ people with multiple end points,15,,,,,,1,,,,,
228,trips using public ground transportation,15,43,,,,,,,,,,
228,bags of garbage disposed,21,43,,,,,,,,,,
228,bags of recycling deposited (negative CF),,,,,,,,,,,,
228,bags of compost deposited (negative CF),,,,,,,,,,,,
228,hazardous or electric items disposed,,,,,,,,,,,,
228,large items disposed,2,13,,,,,,,,,,
229,Household heating => 70F,1,83,,,,,,1,,,,
229,Household heating < 70F,7,74,,,,,,1,,,,
229,Use of heat pump,,49,1,,,,,,,,,
229,Use of air conditioner,13,39,,,,,,,,,,
229,shower - short,3,85,,,,,,,,,,
229,shower - long (> 3 min),11,79,,,,1,,,,,,
229,bath,,12,,1,,,,,,1,,
229,wash-up,33,34,,,,,,,,,,
229,use of dishwasher,,20,,,,,,,,,,
229,use of clothes washer,7,28,,,,,,,,,,
229,use of clothes dryer,1,19,,,,,,,,,,
229,use of cooking range,,,,,,,,,,,,
229,use of  oven,11,34,,,,,,,,,,
229,use of self-clean feature of electric oven,2,18,,,,,,,,,,
229,Small kitchen appliance in the home,,,,,,,,,,,,
229,TV/computer use,64,21,,,,,,,,,,
229,air travel - large plane,3243,42,,,,,,,,,,
229,air travel - small  plane (<50 seats),,,,,,,,,,,,
229,car trips- self only,391,62,,,,,1,,,,,
229,car trips - driver and self,40,28,,,,,1,,,,,
229,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
229,trips using public ground transportation,18,50,,,,,,,,,,
229,bags of garbage disposed,20,44,,,,,,,,,,
229,bags of recycling deposited (negative CF),,,,,,,,,,,,
229,bags of compost deposited (negative CF),,,,,,,,,,,,
229,hazardous or electric items disposed,,,,,,,,,,,,
229,large items disposed,1,13,,,,,,,,,,
230,Household heating => 70F,3,78,,,,,,1,,,,
230,Household heating < 70F,4,73,,,,,,1,,,,
230,Use of heat pump,,55,,,,,,,,,,
230,Use of air conditioner,22,51,,,,,,,,,,
230,shower - short,4,94,,,1,,,,,,,
230,shower - long (> 3 min),15,84,,,,,,,1,,,
230,bath,,20,,,,,,,,,,
230,wash-up,40,33,,,,,,,,,,
230,use of dishwasher,,23,,,,,,,,,,
230,use of clothes washer,5,42,1,,,,,,,,,
230,use of clothes dryer,4,21,,,,,,,,,1,
230,use of cooking range,,,,,,,,,,,1,
230,use of  oven,8,31,,,,1,,,,,1,
230,use of self-clean feature of electric oven,2,20,,,,,,,,,,
230,Small kitchen appliance in the home,,,,,,,,,,,,
230,TV/computer use,59,26,,,,,,,,,,
230,air travel - large plane,3967,42,,,,,,,,,,1
230,air travel - small  plane (<50 seats),679,33,,,,,,,,,,1
230,car trips- self only,335,60,,,,,1,,,,,
230,car trips - driver and self,34,24,,,,,1,,,,,
230,car trips - 2+ people with multiple end points,10,,,,,,1,,,,,
230,trips using public ground transportation,18,62,,,,,,,,,,
230,bags of garbage disposed,21,47,,,,,,,,,,
230,bags of recycling deposited (negative CF),,,,,,,,,,,,
230,bags of compost deposited (negative CF),,,,,,,,,,,,
230,hazardous or electric items disposed,,,,,,,,,,,,
230,large items disposed,,12,,,,,,,,,,
231,Household heating => 70F,8,80,,,1,,1,1,,,,
231,Household heating < 70F,8,74,,,,,,1,,,,
231,Use of heat pump,,55,,,,,,,,,,
231,Use of air conditioner,25,52,,,,,,,,,,
231,shower - short,3,89,,,,,,,,,,
231,shower - long (> 3 min),23,73,,,,,,,,,,
231,bath,,20,,,,,,,,,,
231,wash-up,41,35,,,,,,,,,,
231,use of dishwasher,,19,,,,,,,,,,
231,use of clothes washer,2,36,,,,,,,,,,
231,use of clothes dryer,2,15,,,,,,,,,,
231,use of cooking range,,,,,,,,,,,,
231,use of  oven,10,39,,,,,1,,,,,
231,use of self-clean feature of electric oven,1,20,1,,,,,,,,,
231,Small kitchen appliance in the home,,,,,,,,,,,,
231,TV/computer use,59,26,,,,,,,,,,
231,air travel - large plane,2024,44,,,,,,,,,,
231,air travel - small  plane (<50 seats),,,,,,,,,,,,
231,car trips- self only,334,62,,,,,1,,,,,
231,car trips - driver and self,16,28,,,,,1,,,,,
231,car trips - 2+ people with multiple end points,28,,,,,,1,,,,,
231,trips using public ground transportation,16,42,,,,,,,,,,
231,bags of garbage disposed,28,41,,,,,,,,,,
231,bags of recycling deposited (negative CF),,,,,,,,,,,,
231,bags of compost deposited (negative CF),,,,,,,,,,,,
231,hazardous or electric items disposed,,,,,,,,,,,,
231,large items disposed,,17,,,,,,,,,,
232,Household heating => 70F,9,82,,,,,,1,,,,
232,Household heating < 70F,9,76,,,1,,,1,,,,
232,Use of heat pump,,49,,,,,,,,,,
232,Use of air conditioner,18,53,,,,,,,,,,
232,shower - short,2,87,,1,,,,,,,,
232,shower - long (> 3 min),12,92,,,,,,,,,,
232,bath,,17,,,,,,,,,,
232,wash-up,48,31,,,,,,,,,,
232,use of dishwasher,,23,,,,,,,,,,
232,use of clothes washer,6,40,,,,,,,,,,
232,use of clothes dryer,2,11,,,,,,,,,1,
232,use of cooking range,,,,,,,,,,,1,
232,use of  oven,12,41,,,,,,,,,1,
232,use of self-clean feature of electric oven,1,12,,,,,,,,,,
232,Small kitchen appliance in the home,,,,,,,,,,,,
232,TV/computer use,63,21,,,,,,,,,,
232,air travel - large plane,2287,47,,,,,,,,,,
232,air travel - small  plane (<50 seats),,,,,,,,,,,,
232,car trips- self only,344,59,,,,,1,,,,,
232,car trips - driver and self,23,22,,,,,1,,,,,
232,car trips - 2+ people with multiple end points,11,,,,,,1,,,,,
232,trips using public ground transportation,16,61,,,,,,,,,,
232,bags of garbage disposed,17,50,,,,,,,,,,
232,bags of recycling deposited (negative CF),,,,,,,,,,,,
232,bags of compost deposited (negative CF),,,,,,,,,,,,
232,hazardous or electric items disposed,1,,,,,,,,,,,
232,large items disposed,1,13,,,,,,,,,,
233,Household heating => 70F,2,62,,,,,,1,,,,
233,Household heating < 70F,2,63,,,,,,1,,,,
233,Use of heat pump,,43,,,,,,,,,,
233,Use of air conditioner,32,54,1,,1,,,,,,,
233,shower - short,2,96,,,,,,,,,,
233,shower - long (> 3 min),15,84,,,,,,,,,,
233,bath,,22,,,,,,,,,,
233,wash-up,48,35,,,,1,,,,,,
233,use of dishwasher,,23,,,,,,,,,,
233,use of clothes washer,5,39,,,,1,,,1,,,
233,use of clothes dryer,4,21,,,,,,,,,,
233,use of cooking range,,,,,1,,,,,,,
233,use of  oven,9,39,,,,,,,,,,
233,use of self-clean feature of electric oven,3,15,,,,,,,,,,
233,Small kitchen appliance in the home,,,,,,,,,,,,
233,TV/computer use,58,25,,,,,,,,,,
233,air travel - large plane,2333,46,,,,,,,,,,
233,air travel - small  plane (<50 seats),,,,,,,,,,,,
233,car trips- self only,287,46,,,,,1,,,,,
233,car trips - driver and self,22,38,,,,,1,,,,,
233,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
233,trips using public ground transportation,15,46,,,,,,,,,,
233,bags of garbage disposed,26,43,,,,,,,,,,
233,bags of recycling deposited (negative CF),,,,,,,,,,,,
233,bags of compost deposited (negative CF),,,,,,,,,,,,
233,hazardous or electric items disposed,,,,,,,,,,,,
233,large items disposed,1,18,,,,,,,,,,
234,Household heating => 70F,9,85,,,,,,1,,,,
234,Household heating < 70F,3,83,,,,,,1,,,,
234,Use of heat pump,,50,,,,,,,,,,
234,Use of air conditioner,28,49,,,,,,,,,,
234,shower - short,6,93,,,,,,,,,,
234,shower - long (> 3 min),13,82,,,1,1,,,,,,
234,bath,,15,,,,,,,,,,
234,wash-up,32,26,,,,,,,,,,
234,use of dishwasher,,21,,,,,,,,,,
234,use of clothes washer,6,44,,,,1,,,,,,
234,use of clothes dryer,1,18,,,,,,,,,1,
234,use of cooking range,,,,,,,,,,,1,
234,use of  oven,9,38,,,,,,,,,1,
234,use of self-clean feature of electric oven,1,13,,1,,,,,,,,
234,Small kitchen appliance in the home,,,,,,,,,,,,
234,TV/computer use,61,25,,,,,,,,,,
234,air travel - large plane,3654,45,,,,,,,,,,1
234,air travel - small  plane (<50 seats),,,,,,,,,,,,
234,car trips- self only,284,52,,,,,1,,,,,
234,car trips - driver and self,15,20,,,,,1,,,,,
234,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
234,trips using public ground transportation,13,58,,,,,,,,,,
234,bags of garbage disposed,26,45,,,,,,,,,,
234,bags of recycling deposited (negative CF),,,,,,,,,,,,
234,bags of compost deposited (negative CF),,,,,,,,,,,,
234,hazardous or electric items disposed,,,,,,,,,,,,
234,large items disposed,2,14,,,,,,,,,,
235,Household heating => 70F,9,66,1,,,,,1,,,,
235,Household heating < 70F,7,77,,,,,,1,,,,
235,Use of heat pump,,49,,,,,,,,,,
235,Use of air conditioner,19,51,,,,,,,,,,
235,shower - short,3,95,,,,,,,,,,
235,shower - long (> 3 min),19,87,,,,,,,,,,
235,bath,,11,,,,,,,,,,
235,wash-up,34,37,,,,,,,,,,
235,use of dishwasher,,24,1,,,,,,,,,
235,use of clothes washer,8,40,,,,,,,,,,
235,use of clothes dryer,2,11,,,,,,,,,,
235,use of cooking range,,,,,,,,,,,,
235,use of  oven,9,33,1,,,,,,,,,
235,use of self-clean feature of electric oven,1,12,,,,,,,,,,
235,Small kitchen appliance in the home,,,,,,,1,,,,,
235,TV/computer use,60,23,,,,,,,,,,
235,air travel - large plane,2182,46,,,,,,,,,,
235,air travel - small  plane (<50 seats),,,,,,,,,,,,1
235,car trips- self only,315,52,,,,,1,,,,,
235,car trips - driver and self,33,34,,,,,1,,,,,
235,car trips - 2+ people with multiple end points,11,,,,,,1,,,,,
235,trips using public ground transportation,15,56,,,,,,,,,,
235,bags of garbage disposed,20,49,,,,,,,,,,
235,bags of recycling deposited (negative CF),,,,,,,,,,,,
235,bags of compost deposited (negative CF),,,,,,,,,,,,
235,hazardous or electric items disposed,,,,,,,,,,,,
235,large items disposed,2,19,,,,,,,,,,
236,Household heating => 70F,8,66,,,,1,,1,,,,
236,Household heating < 70F,2,86,,,,,,1,,,,
236,Use of heat pump,,47,,,,,,,,,,
236,Use of air conditioner,32,47,,,,1,,,,,,
236,shower - short,6,92,,1,,,,,,,,
236,shower - long (> 3 min),23,81,,,,,,,,,,
236,bath,,19,,,,,,,,,,
236,wash-up,46,35,,,,,,,,,,
236,use of dishwasher,,19,,,,,,,,,,
